state,state abbr,File week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
Alabama,AL,2020-04-04,106739,2020-03-28,52176,1923741,2.71
Alaska,AK,2020-04-04,14590,2020-03-28,19845,307329,6.46
Arizona,AZ,2020-04-04,132428,2020-03-28,62597,2864180,2.19
Arkansas,AR,2020-04-04,62086,2020-03-28,36499,1195622,3.05
California,CA,2020-04-04,918814,2020-03-28,1076761,17265039,6.24
Colorado,CO,2020-04-04,46326,2020-03-28,73584,2650335,2.78
Connecticut,CT,2020-04-04,33464,2020-03-28,147939,1654391,8.94
Delaware,DE,2020-04-04,18851,2020-03-28,19442,443288,4.39
District of Columbia,DC,2020-04-04,15329,2020-03-28,31385,578035,5.43
Florida,FL,2020-04-04,169885,2020-03-28,98921,8604277,1.15
Georgia,GA,2020-04-04,390132,2020-03-28,360077,4373059,8.23
Hawaii,HI,2020-04-04,53101,2020-03-28,32197,621949,5.18
Idaho,ID,2020-04-04,30904,2020-03-28,35915,727996,4.93
Illinois,IL,2020-04-04,201041,2020-03-28,263057,5910898,4.45
Indiana,IN,2020-04-04,127010,2020-03-28,71737,3039304,2.36
Iowa,IA,2020-04-04,64194,2020-03-28,91631,1530920,5.99
Kansas,KS,2020-04-04,49306,2020-03-28,51425,1363114,3.77
Kentucky,KY,2020-04-04,117575,2020-03-28,130151,1890475,6.88
Louisiana,LA,2020-04-04,100621,2020-03-28,116690,1892522,6.17
Maine,ME,2020-04-04,30910,2020-03-28,41339,602736,6.86
Maryland,MD,2020-04-04,109496,2020-03-28,92112,2549408,3.61
Massachusetts,MA,2020-04-04,139647,2020-03-28,310211,3557761,8.72
Michigan,MI,2020-04-04,388554,2020-03-28,366426,4302198,8.52
Minnesota,MN,2020-04-04,110260,2020-03-28,248023,2859937,8.67
Mississippi,MS,2020-04-04,45852,2020-03-28,29373,1108618,2.65
Missouri,MO,2020-04-04,91458,2020-03-28,121467,2749100,4.42
Montana,MT,2020-04-04,21244,2020-03-28,36819,454298,8.1
Nebraska,NE,2020-04-04,27054,2020-03-28,38921,962725,4.04
Nevada,NV,2020-04-04,79285,2020-03-28,131121,1371969,9.56
New Hampshire,NH,2020-04-04,39202,2020-03-28,52166,654468,7.97
New Jersey,NJ,2020-04-04,214836,2020-03-28,276119,4015146,6.88
New Mexico,NM,2020-04-04,26132,2020-03-28,44829,799085,5.61
New York,NY,2020-04-04,344451,2020-03-28,712544,9380736,7.6
North Carolina,NC,2020-04-04,137422,2020-03-28,245692,4381417,5.61
North Dakota,ND,2020-04-04,15125,2020-03-28,16036,411624,3.9
Ohio,OH,2020-04-04,226191,2020-03-28,450061,5338723,8.43
Oklahoma,OK,2020-04-04,60534,2020-03-28,55029,1565634,3.51
Oregon,OR,2020-04-04,62788,2020-03-28,118729,1906429,6.23
Pennsylvania,PA,2020-04-04,277640,2020-03-28,566464,5800562,9.77
Puerto Rico,PR,2020-04-04,66555,2020-03-28,49669,852292,5.83
Rhode Island,RI,2020-04-04,28243,2020-03-28,56038,472874,11.85
South Carolina,SC,2020-04-04,86573,2020-03-28,75521,2077535,3.64
South Dakota,SD,2020-04-04,8138,2020-03-28,7568,417030,1.81
Tennessee,TN,2020-04-04,112186,2020-03-28,116179,3263988,3.56
Texas,TX,2020-04-04,315167,2020-03-28,374656,12236594,3.06
Utah,UT,2020-04-04,33040,2020-03-28,45161,1459679,3.09
Vermont,VT,2020-04-04,16474,2020-03-28,21953,303508,7.23
Virgin Islands,VI,2020-04-04,72,2020-03-28,658,34238,1.92
Virginia,VA,2020-04-04,147369,2020-03-28,133184,3731069,3.57
Washington,WA,2020-04-04,171252,2020-03-28,309411,3333838,9.28
West Virginia,WV,2020-04-04,14494,2020-03-28,36690,670051,5.48
Wisconsin,WI,2020-04-04,104823,2020-03-28,208387,2851929,7.31
Wyoming,WY,2020-04-04,6543,2020-03-28,7790,268518,2.9
